location,location_name
84,"AK - Dillingham Census Area,AK - Lake and Peninsula Borough"
85,"AK - Denali Borough,AK - Yukon-Koyukuk Census Area"
86,"AK - Hoonah-Angoon Census Area,AK - Skagway Municipality,AK - Skagway-Yakutat-Angoon Census Area,AK - Skagway-Hoonah-Angoon Census Area,AK - Yakutat City and Borough"
87,"AK - Ketchikan Gateway Borough,AK - Petersburg Borough,AK - Prince of Wales-Hyder Census Area,AK - Prince of Wales-Outer Ketchikan Census Area,AK - Wrangell City and Borough,AK - Wrangell-Petersburg Census Area"
88,AZ - Apache County
89,AZ - Cochise County
90,AZ - Coconino County
91,AZ - Gila County
92,AZ - Graham County
93,AZ - Greenlee County
94,AZ - Maricopa County
95,AZ - Mohave County
96,AZ - Navajo County
97,AZ - Pima County
98,AZ - Pinal County
99,AZ - Santa Cruz County
100,AZ - Yavapai County
101,"AZ - La Paz County,AZ - Yuma County"
102,AR - Arkansas County
103,AR - Ashley County
104,AR - Baxter County
105,AR - Benton County
106,AR - Boone County
107,AR - Bradley County
108,AR - Calhoun County
109,AR - Carroll County
110,AR - Chicot County
111,AR - Clark County
112,AR - Clay County
113,AR - Cleburne County
114,AR - Cleveland County
115,AR - Columbia County
116,AR - Conway County
117,AR - Craighead County
118,AR - Crawford County
119,AR - Crittenden County
120,AR - Cross County
121,AR - Dallas County
122,AR - Desha County
123,AR - Drew County
124,AR - Faulkner County
125,AR - Franklin County
126,AR - Fulton County
127,AR - Garland County
128,AR - Grant County
129,AR - Greene County
130,AR - Hempstead County
131,AR - Hot Spring County
132,AR - Howard County
133,AR - Independence County
134,AR - Izard County
135,AR - Jackson County
136,AR - Jefferson County
137,AR - Johnson County
138,AR - Lafayette County
139,AR - Lawrence County
140,AR - Lee County
141,AR - Lincoln County
142,AR - Little River County
143,AR - Logan County
144,AR - Lonoke County
145,AR - Madison County
146,AR - Marion County
147,AR - Miller County
148,AR - Mississippi County
149,AR - Monroe County
150,AR - Montgomery County
151,AR - Nevada County
152,AR - Newton County
153,AR - Ouachita County
154,AR - Perry County
155,AR - Phillips County
156,AR - Pike County
157,AR - Poinsett County
158,AR - Polk County
159,AR - Pope County
160,AR - Prairie County
161,AR - Pulaski County
162,AR - Randolph County
163,AR - Saint Francis County
164,AR - Saline County
165,AR - Scott County
166,AR - Searcy County
167,AR - Sebastian County
168,AR - Sevier County
169,AR - Sharp County
170,AR - Stone County
171,AR - Union County
172,AR - Van Buren County
173,AR - Washington County
174,AR - White County
175,AR - Woodruff County
176,AR - Yell County
177,CA - Alameda County
178,CA - Alpine County
179,CA - Amador County
180,CA - Butte County
181,CA - Calaveras County
182,CA - Colusa County
183,CA - Contra Costa County
184,CA - Del Norte County
185,CA - El Dorado County
186,CA - Fresno County
187,CA - Glenn County
188,CA - Humboldt County
189,CA - Imperial County
190,CA - Inyo County
191,CA - Kern County
192,CA - Kings County
193,CA - Lake County
194,CA - Lassen County
195,CA - Los Angeles County
196,CA - Madera County
197,CA - Marin County
198,CA - Mariposa County
199,CA - Mendocino County
200,CA - Merced County
201,CA - Modoc County
202,CA - Mono County
203,CA - Monterey County
204,CA - Napa County
205,CA - Nevada County
206,CA - Orange County
207,CA - Placer County
208,CA - Plumas County
209,CA - Riverside County
210,CA - Sacramento County
211,CA - San Benito County
212,CA - San Bernardino County
213,CA - San Diego County
214,CA - San Francisco County
215,CA - San Joaquin County
216,CA - San Luis Obispo County
217,CA - San Mateo County
218,CA - Santa Barbara County
219,CA - Santa Clara County
220,CA - Santa Cruz County
221,CA - Shasta County
222,CA - Sierra County
223,CA - Siskiyou County
224,CA - Solano County
225,CA - Sonoma County
226,CA - Stanislaus County
227,CA - Sutter County
228,CA - Tehama County
229,CA - Trinity County
230,CA - Tulare County
231,CA - Tuolumne County
