toc,pri_payer,payer,include,geo,reference_dataset
IP,mdcd,priv,0,county,MDCD
IP,mdcd,priv,0,national,MDCD
IP,mdcd,priv,0,state,MDCD
NF,mdcd,mdcd,1,county,MDCD
NF,mdcd,mdcd,1,national,MDCD
NF,mdcd,mdcd,1,state,MDCD
NF,mdcd,mdcr,0,county,MDCD
NF,mdcd,mdcr,0,national,MDCD
NF,mdcd,mdcr,0,state,MDCD
NF,mdcd,na,1,county,MDCD
NF,mdcd,na,1,national,MDCD
NF,mdcd,na,1,state,MDCD
NF,mdcd,oop,1,county,MDCD
NF,mdcd,oop,1,national,MDCD
NF,mdcd,oop,1,state,MDCD
NF,mdcd,priv,0,county,MDCD
NF,mdcd,priv,0,national,MDCD
NF,mdcd,priv,0,state,MDCD
RX,mdcd,mdcd,1,county,MDCD
RX,mdcd,mdcd,1,national,MDCD
RX,mdcd,mdcd,1,state,MDCD
RX,mdcd,mdcr,0,county,MDCD
RX,mdcd,mdcr,0,national,MDCD
RX,mdcd,mdcr,0,state,MDCD
RX,mdcd,na,1,county,MDCD
RX,mdcd,na,1,national,MDCD
RX,mdcd,na,1,state,MDCD
RX,mdcd,oop,1,county,MDCD
RX,mdcd,oop,1,national,MDCD
RX,mdcd,oop,1,state,MDCD
RX,mdcd,priv,0,county,MDCD
RX,mdcd,priv,0,national,MDCD
RX,mdcd,priv,0,state,MDCD
AM,mdcd_mc,mdcd,0,county,MDCD
AM,mdcd_mc,mdcd,0,national,MDCD
AM,mdcd_mc,mdcd,0,state,MDCD
AM,mdcd_mc,mdcr,0,county,MDCD
AM,mdcd_mc,mdcr,0,national,MDCD
AM,mdcd_mc,mdcr,0,state,MDCD
AM,mdcd_mc,na,1,county,MDCD
AM,mdcd_mc,na,1,national,MDCD
AM,mdcd_mc,na,1,state,MDCD
AM,mdcd_mc,oop,0,county,MDCD
AM,mdcd_mc,oop,0,national,MDCD
AM,mdcd_mc,oop,0,state,MDCD
AM,mdcd_mc,priv,0,county,MDCD
AM,mdcd_mc,priv,0,national,MDCD
AM,mdcd_mc,priv,0,state,MDCD
DV,mdcd_mc,mdcd,0,county,MDCD
DV,mdcd_mc,mdcd,0,national,MDCD
DV,mdcd_mc,mdcd,0,state,MDCD
DV,mdcd_mc,mdcr,0,county,MDCD
DV,mdcd_mc,mdcr,0,national,MDCD
DV,mdcd_mc,mdcr,0,state,MDCD
DV,mdcd_mc,na,1,county,MDCD
DV,mdcd_mc,na,1,national,MDCD
DV,mdcd_mc,na,1,state,MDCD
DV,mdcd_mc,oop,0,county,MDCD
DV,mdcd_mc,oop,0,national,MDCD
DV,mdcd_mc,oop,0,state,MDCD
DV,mdcd_mc,priv,0,county,MDCD
DV,mdcd_mc,priv,0,national,MDCD
DV,mdcd_mc,priv,0,state,MDCD
ED,mdcd_mc,mdcd,0,county,MDCD
ED,mdcd_mc,mdcd,0,national,MDCD
ED,mdcd_mc,mdcd,0,state,MDCD
ED,mdcd_mc,mdcr,0,county,MDCD
ED,mdcd_mc,mdcr,0,national,MDCD
ED,mdcd_mc,mdcr,0,state,MDCD
ED,mdcd_mc,na,1,county,MDCD
ED,mdcd_mc,na,1,national,MDCD
ED,mdcd_mc,na,1,state,MDCD
ED,mdcd_mc,oop,0,county,MDCD
ED,mdcd_mc,oop,0,national,MDCD
ED,mdcd_mc,oop,0,state,MDCD
ED,mdcd_mc,priv,0,county,MDCD
ED,mdcd_mc,priv,0,national,MDCD
ED,mdcd_mc,priv,0,state,MDCD
HH,mdcd_mc,mdcd,0,county,MDCD
HH,mdcd_mc,mdcd,0,national,MDCD
HH,mdcd_mc,mdcd,0,state,MDCD
HH,mdcd_mc,mdcr,0,county,MDCD
HH,mdcd_mc,mdcr,0,national,MDCD
HH,mdcd_mc,mdcr,0,state,MDCD
HH,mdcd_mc,na,1,county,MDCD
HH,mdcd_mc,na,1,national,MDCD
HH,mdcd_mc,na,1,state,MDCD
HH,mdcd_mc,oop,0,county,MDCD
HH,mdcd_mc,oop,0,national,MDCD
HH,mdcd_mc,oop,0,state,MDCD
HH,mdcd_mc,priv,0,county,MDCD
HH,mdcd_mc,priv,0,national,MDCD
HH,mdcd_mc,priv,0,state,MDCD
IP,mdcd_mc,mdcd,0,county,MDCD
IP,mdcd_mc,mdcd,0,national,MDCD
IP,mdcd_mc,mdcd,0,state,MDCD
IP,mdcd_mc,mdcr,0,county,MDCD
IP,mdcd_mc,mdcr,0,national,MDCD
IP,mdcd_mc,mdcr,0,state,MDCD
IP,mdcd_mc,na,1,county,MDCD
IP,mdcd_mc,na,1,national,MDCD
IP,mdcd_mc,na,1,state,MDCD
IP,mdcd_mc,oop,0,county,MDCD
IP,mdcd_mc,oop,0,national,MDCD
IP,mdcd_mc,oop,0,state,MDCD
IP,mdcd_mc,priv,0,county,MDCD
IP,mdcd_mc,priv,0,national,MDCD
IP,mdcd_mc,priv,0,state,MDCD
NF,mdcd_mc,mdcd,0,county,MDCD
NF,mdcd_mc,mdcd,0,national,MDCD
NF,mdcd_mc,mdcd,0,state,MDCD
NF,mdcd_mc,mdcr,0,county,MDCD
NF,mdcd_mc,mdcr,0,national,MDCD
NF,mdcd_mc,mdcr,0,state,MDCD
NF,mdcd_mc,na,1,county,MDCD
NF,mdcd_mc,na,1,national,MDCD
NF,mdcd_mc,na,1,state,MDCD
NF,mdcd_mc,oop,0,county,MDCD
NF,mdcd_mc,oop,0,national,MDCD
NF,mdcd_mc,oop,0,state,MDCD
NF,mdcd_mc,priv,0,county,MDCD
NF,mdcd_mc,priv,0,national,MDCD
NF,mdcd_mc,priv,0,state,MDCD
RX,mdcd_mc,mdcd,0,county,MDCD
RX,mdcd_mc,mdcd,0,national,MDCD
RX,mdcd_mc,mdcd,0,state,MDCD
RX,mdcd_mc,mdcr,0,county,MDCD
RX,mdcd_mc,mdcr,0,national,MDCD
RX,mdcd_mc,mdcr,0,state,MDCD
RX,mdcd_mc,na,1,county,MDCD
RX,mdcd_mc,na,1,national,MDCD
RX,mdcd_mc,na,1,state,MDCD
RX,mdcd_mc,oop,0,county,MDCD
RX,mdcd_mc,oop,0,national,MDCD
RX,mdcd_mc,oop,0,state,MDCD
RX,mdcd_mc,priv,0,county,MDCD
RX,mdcd_mc,priv,0,national,MDCD
RX,mdcd_mc,priv,0,state,MDCD
AM,mdcr,mdcr,1,county,MDCR
AM,mdcr,mdcr,1,national,MDCR
AM,mdcr,mdcr,1,state,MDCR
DV,mdcr,mdcr,1,county,MDCR
DV,mdcr,mdcr,1,national,MDCR
DV,mdcr,mdcr,1,state,MDCR
ED,mdcr,mdcr,1,county,MDCR
AM,mdcr_mdcd,mdcd,1,county,MDCD
AM,mdcr_mdcd,mdcd,1,national,MDCD
AM,mdcr_mdcd,mdcd,1,state,MDCD
DV,mdcr_mdcd,mdcd,1,county,MDCD
DV,mdcr_mdcd,mdcd,1,national,MDCD
DV,mdcr_mdcd,mdcd,1,state,MDCD
ED,mdcr_mdcd,mdcd,1,county,MDCD
ED,mdcr_mdcd,mdcd,1,national,MDCD
ED,mdcr_mdcd,mdcd,1,state,MDCD
HH,mdcr_mdcd,mdcd,1,county,MDCD
HH,mdcr_mdcd,mdcd,1,national,MDCD
HH,mdcr_mdcd,mdcd,1,state,MDCD
IP,mdcr_mdcd,mdcd,1,county,MDCD
IP,mdcr_mdcd,mdcd,1,national,MDCD
IP,mdcr_mdcd,mdcd,1,state,MDCD
NF,mdcr_mdcd,mdcd,1,county,MDCD
NF,mdcr_mdcd,mdcd,1,national,MDCD
NF,mdcr_mdcd,mdcd,1,state,MDCD
RX,mdcr_mdcd,mdcd,1,county,MDCD
RX,mdcr_mdcd,mdcd,1,national,MDCD
RX,mdcr_mdcd,mdcd,1,state,MDCD
ED,mdcr,mdcr,1,national,MDCR
ED,mdcr,mdcr,1,state,MDCR
HH,mdcr,mdcr,1,county,MDCR
HH,mdcr,mdcr,1,national,MDCR
HH,mdcr,mdcr,1,state,MDCR
IP,mdcr,mdcr,1,county,MDCR
IP,mdcr,mdcr,1,national,MDCR
IP,mdcr,mdcr,1,state,MDCR
NF,mdcr,mdcr,1,county,MDCR
NF,mdcr,mdcr,1,national,MDCR
NF,mdcr,mdcr,1,state,MDCR
RX,mdcr,mdcr,1,county,MDCR
RX,mdcr,mdcr,1,national,MDCR
RX,mdcr,mdcr,1,state,MDCR
AM,mdcr,na,1,county,MDCR
AM,mdcr,na,1,national,MDCR
AM,mdcr,na,1,state,MDCR
DV,mdcr,na,1,county,MDCR
DV,mdcr,na,1,national,MDCR
DV,mdcr,na,1,state,MDCR
ED,mdcr,na,1,county,MDCR
ED,mdcr,na,1,national,MDCR
ED,mdcr,na,1,state,MDCR
HH,mdcr,na,1,county,MDCR
HH,mdcr,na,1,national,MDCR
HH,mdcr,na,1,state,MDCR
IP,mdcr,na,1,county,MDCR
IP,mdcr,na,1,national,MDCR
IP,mdcr,na,1,state,MDCR
NF,mdcr,na,1,county,MDCR
NF,mdcr,na,1,national,MDCR
NF,mdcr,na,1,state,MDCR
RX,mdcr,na,1,county,MDCR
RX,mdcr,na,1,national,MDCR
RX,mdcr,na,1,state,MDCR
AM,mdcr,oop,1,county,MDCR
AM,mdcr,oop,1,national,MDCR
AM,mdcr,oop,1,state,MDCR
DV,mdcr,oop,1,county,MDCR
DV,mdcr,oop,1,national,MDCR
DV,mdcr,oop,1,state,MDCR
ED,mdcr,oop,1,county,MDCR
ED,mdcr,oop,1,national,MDCR
ED,mdcr,oop,1,state,MDCR
HH,mdcr,oop,1,county,MDCR
HH,mdcr,oop,1,national,MDCR
HH,mdcr,oop,1,state,MDCR
IP,mdcr,oop,1,county,MDCR
IP,mdcr,oop,1,national,MDCR
IP,mdcr,oop,1,state,MDCR
NF,mdcr,oop,1,county,MDCR
NF,mdcr,oop,1,national,MDCR
NF,mdcr,oop,1,state,MDCR
RX,mdcr,oop,1,county,MDCR
RX,mdcr,oop,1,national,MDCR
RX,mdcr,oop,1,state,MDCR
AM,mdcr,priv,1,county,KYTHERA
DV,mdcr,priv,1,county,KYTHERA
ED,mdcr,priv,1,county,KYTHERA
HH,mdcr,priv,1,county,KYTHERA
IP,mdcr,priv,1,county,KYTHERA
NF,mdcr,priv,1,county,KYTHERA
RX,mdcr,priv,1,county,KYTHERA
AM,mdcr_mc,priv,0,county,KYTHERA
DV,mdcr_mc,priv,0,county,KYTHERA
ED,mdcr_mc,priv,0,county,KYTHERA
HH,mdcr_mc,priv,0,county,KYTHERA
IP,mdcr_mc,priv,0,county,KYTHERA
NF,mdcr_mc,priv,0,county,KYTHERA
RX,mdcr_mc,priv,0,county,KYTHERA
AM,mdcr_mc,mdcd,0,county,MDCD
AM,mdcr_mc,mdcd,0,national,MDCD
AM,mdcr_mc,mdcd,0,state,MDCD
DV,mdcr_mc,mdcd,0,county,MDCD
DV,mdcr_mc,mdcd,0,national,MDCD
DV,mdcr_mc,mdcd,0,state,MDCD
ED,mdcr_mc,mdcd,0,county,MDCD
ED,mdcr_mc,mdcd,0,national,MDCD
ED,mdcr_mc,mdcd,0,state,MDCD
HH,mdcr_mc,mdcd,0,county,MDCD
HH,mdcr_mc,mdcd,0,national,MDCD
HH,mdcr_mc,mdcd,0,state,MDCD
IP,mdcr_mc,mdcd,0,county,MDCD
IP,mdcr_mc,mdcd,0,national,MDCD
IP,mdcr_mc,mdcd,0,state,MDCD
NF,mdcr_mc,mdcd,0,county,MDCD
NF,mdcr_mc,mdcd,0,national,MDCD
NF,mdcr_mc,mdcd,0,state,MDCD
RX,mdcr_mc,mdcd,0,county,MDCD
RX,mdcr_mc,mdcd,0,national,MDCD
RX,mdcr_mc,mdcd,0,state,MDCD
AM,mdcr_mc,mdcr,0,county,MDCR
AM,mdcr_mc,mdcr,0,national,MDCR
AM,mdcr_mc,mdcr,0,state,MDCR
AM,mdcr_mc,na,1,county,MDCR
AM,mdcr_mc,na,1,national,MDCR
AM,mdcr_mc,na,1,state,MDCR
AM,mdcr_mc,oop,0,county,MDCR
AM,mdcr_mc,oop,0,national,MDCR
AM,mdcr_mc,oop,0,state,MDCR
DV,mdcr_mc,mdcr,0,county,MDCR
DV,mdcr_mc,mdcr,0,national,MDCR
DV,mdcr_mc,mdcr,0,state,MDCR
DV,mdcr_mc,na,1,county,MDCR
DV,mdcr_mc,na,1,national,MDCR
DV,mdcr_mc,na,1,state,MDCR
DV,mdcr_mc,oop,0,county,MDCR
DV,mdcr_mc,oop,0,national,MDCR
DV,mdcr_mc,oop,0,state,MDCR
ED,mdcr_mc,mdcr,0,county,MDCR
ED,mdcr_mc,mdcr,0,national,MDCR
ED,mdcr_mc,mdcr,0,state,MDCR
ED,mdcr_mc,na,1,county,MDCR
ED,mdcr_mc,na,1,national,MDCR
ED,mdcr_mc,na,1,state,MDCR
ED,mdcr_mc,oop,0,county,MDCR
ED,mdcr_mc,oop,0,national,MDCR
ED,mdcr_mc,oop,0,state,MDCR
HH,mdcr_mc,mdcr,0,county,MDCR
HH,mdcr_mc,mdcr,0,national,MDCR
HH,mdcr_mc,mdcr,0,state,MDCR
HH,mdcr_mc,na,1,county,MDCR
HH,mdcr_mc,na,1,national,MDCR
HH,mdcr_mc,na,1,state,MDCR
HH,mdcr_mc,oop,0,county,MDCR
HH,mdcr_mc,oop,0,national,MDCR
HH,mdcr_mc,oop,0,state,MDCR
IP,mdcr_mc,mdcr,0,county,MDCR
IP,mdcr_mc,mdcr,0,national,MDCR
IP,mdcr_mc,mdcr,0,state,MDCR
IP,mdcr_mc,na,1,county,MDCR
IP,mdcr_mc,na,1,national,MDCR
IP,mdcr_mc,na,1,state,MDCR
IP,mdcr_mc,oop,0,county,MDCR
IP,mdcr_mc,oop,0,national,MDCR
IP,mdcr_mc,oop,0,state,MDCR
NF,mdcr_mc,mdcr,0,county,MDCR
NF,mdcr_mc,mdcr,0,national,MDCR
NF,mdcr_mc,mdcr,0,state,MDCR
NF,mdcr_mc,na,1,county,MDCR
NF,mdcr_mc,na,1,national,MDCR
NF,mdcr_mc,na,1,state,MDCR
NF,mdcr_mc,oop,0,county,MDCR
NF,mdcr_mc,oop,0,national,MDCR
NF,mdcr_mc,oop,0,state,MDCR
RX,mdcr_mc,mdcr,0,county,MDCR
RX,mdcr_mc,mdcr,0,national,MDCR
RX,mdcr_mc,mdcr,0,state,MDCR
RX,mdcr_mc,na,0,county,MDCR
RX,mdcr_mc,na,0,national,MDCR
RX,mdcr_mc,na,0,state,MDCR
RX,mdcr_mc,oop,0,county,MDCR
RX,mdcr_mc,oop,0,national,MDCR
RX,mdcr_mc,oop,0,state,MDCR
AM,mdcr_mc,priv,0,national,MSCAN
AM,mdcr_mc,priv,0,state,MSCAN
DV,mdcr_mc,priv,0,national,MSCAN
DV,mdcr_mc,priv,0,state,MSCAN
ED,mdcr_mc,priv,0,national,MSCAN
ED,mdcr_mc,priv,0,state,MSCAN
HH,mdcr_mc,priv,0,national,MSCAN
HH,mdcr_mc,priv,0,state,MSCAN
IP,mdcr_mc,priv,0,national,MSCAN
IP,mdcr_mc,priv,0,state,MSCAN
NF,mdcr_mc,priv,0,national,MSCAN
NF,mdcr_mc,priv,0,state,MSCAN
RX,mdcr_mc,priv,0,national,MSCAN
RX,mdcr_mc,priv,0,state,MSCAN
RX,mdcr_mc,na,1,county,MDCR
RX,mdcr_mc,na,1,national,MDCR
RX,mdcr_mc,na,1,state,MDCR
AM,mdcr_mdcd,na,1,county,MDCR
AM,mdcr_mdcd,na,1,national,MDCR
AM,mdcr_mdcd,na,1,state,MDCR
DV,mdcr_mdcd,na,1,county,MDCR
DV,mdcr_mdcd,na,1,national,MDCR
DV,mdcr_mdcd,na,1,state,MDCR
ED,mdcr_mdcd,na,1,county,MDCR
ED,mdcr_mdcd,na,1,national,MDCR
ED,mdcr_mdcd,na,1,state,MDCR
HH,mdcr_mdcd,na,1,county,MDCR
HH,mdcr_mdcd,na,1,national,MDCR
HH,mdcr_mdcd,na,1,state,MDCR
IP,mdcr_mdcd,na,1,county,MDCR
IP,mdcr_mdcd,na,1,national,MDCR
IP,mdcr_mdcd,na,1,state,MDCR
NF,mdcr_mdcd,na,1,county,MDCR
NF,mdcr_mdcd,na,1,national,MDCR
NF,mdcr_mdcd,na,1,state,MDCR
RX,mdcr_mdcd,na,1,county,MDCR
RX,mdcr_mdcd,na,1,national,MDCR
RX,mdcr_mdcd,na,1,state,MDCR
AM,mdcr_priv,priv,1,national,MSCAN
AM,mdcr_priv,priv,1,state,MSCAN
DV,mdcr_priv,priv,1,national,MSCAN
DV,mdcr_priv,priv,1,state,MSCAN
ED,mdcr_priv,priv,1,national,MSCAN
ED,mdcr_priv,priv,1,state,MSCAN
HH,mdcr_priv,priv,1,national,MSCAN
HH,mdcr_priv,priv,1,state,MSCAN
IP,mdcr_priv,priv,1,national,MSCAN
IP,mdcr_priv,priv,1,state,MSCAN
NF,mdcr_priv,priv,1,national,MSCAN
NF,mdcr_priv,priv,1,state,MSCAN
RX,mdcr_priv,priv,1,national,MSCAN
RX,mdcr_priv,priv,1,state,MSCAN
AM,mdcr_priv,na,1,national,MSCAN
AM,mdcr_priv,na,1,state,MSCAN
DV,mdcr_priv,na,1,national,MSCAN
DV,mdcr_priv,na,1,state,MSCAN
ED,mdcr_priv,na,1,national,MSCAN
ED,mdcr_priv,na,1,state,MSCAN
HH,mdcr_priv,na,1,national,MSCAN
HH,mdcr_priv,na,1,state,MSCAN
IP,mdcr_priv,na,1,national,MSCAN
IP,mdcr_priv,na,1,state,MSCAN
NF,mdcr_priv,na,1,national,MSCAN
NF,mdcr_priv,na,1,state,MSCAN
RX,mdcr_priv,na,1,national,MSCAN
RX,mdcr_priv,na,1,state,MSCAN
AM,oop,mdcd,0,national,MEPS
AM,oop,mdcr,0,national,MEPS
AM,oop,na,1,national,MEPS
AM,oop,oop,1,national,MEPS
AM,oop,priv,0,national,MEPS
DV,oop,mdcd,0,national,MEPS
DV,oop,mdcr,0,national,MEPS
DV,oop,na,1,national,MEPS
DV,oop,oop,1,national,MEPS
DV,oop,priv,0,national,MEPS
HH,oop,mdcd,0,national,MEPS
HH,oop,mdcr,0,national,MEPS
HH,oop,na,1,national,MEPS
HH,oop,oop,1,national,MEPS
HH,oop,priv,0,national,MEPS
NF,oop,mdcd,0,national,MEPS
NF,oop,mdcr,0,national,MEPS
NF,oop,na,0,national,MEPS
NF,oop,oop,0,national,MEPS
NF,oop,priv,0,national,MEPS
RX,oop,mdcd,0,national,MEPS
RX,oop,mdcr,0,national,MEPS
RX,oop,na,1,national,MEPS
RX,oop,oop,1,national,MEPS
RX,oop,priv,0,national,MEPS
ED,oop,mdcd,0,national,NEDS
ED,oop,mdcr,0,national,NEDS
ED,oop,na,1,national,NEDS
ED,oop,oop,1,national,NEDS
ED,oop,priv,0,national,NEDS
IP,oop,mdcd,0,national,NIS
IP,oop,mdcr,0,national,NIS
IP,oop,na,1,national,NIS
IP,oop,oop,1,national,NIS
IP,oop,priv,0,national,NIS
ED,oop,mdcd,0,county,SEDD
ED,oop,mdcd,0,state,SEDD
ED,oop,mdcr,0,county,SEDD
ED,oop,mdcr,0,state,SEDD
ED,oop,na,1,county,SEDD
ED,oop,na,1,state,SEDD
ED,oop,oop,1,county,SEDD
ED,oop,oop,1,state,SEDD
ED,oop,priv,0,county,SEDD
ED,oop,priv,0,state,SEDD
IP,oop,mdcd,0,county,SIDS
IP,oop,mdcd,0,state,SIDS
IP,oop,mdcr,0,county,SIDS
IP,oop,mdcr,0,state,SIDS
IP,oop,na,1,county,SIDS
IP,oop,na,1,state,SIDS
IP,oop,oop,1,county,SIDS
IP,oop,oop,1,state,SIDS
IP,oop,priv,0,county,SIDS
IP,oop,priv,0,state,SIDS
AM,oop,mdcd,0,county,""
AM,oop,mdcd,0,state,""
AM,oop,mdcr,0,county,""
AM,oop,mdcr,0,state,""
AM,oop,na,1,county,""
AM,oop,na,1,state,""
AM,oop,oop,1,county,""
AM,oop,oop,1,state,""
AM,oop,priv,0,county,""
AM,oop,priv,0,state,""
DV,oop,mdcd,0,county,""
DV,oop,mdcd,0,state,""
DV,oop,mdcr,0,county,""
DV,oop,mdcr,0,state,""
DV,oop,na,1,county,""
DV,oop,na,1,state,""
DV,oop,oop,1,county,""
DV,oop,oop,1,state,""
DV,oop,priv,0,county,""
DV,oop,priv,0,state,""
HH,oop,mdcd,0,county,""
HH,oop,mdcd,0,state,""
HH,oop,mdcr,0,county,""
HH,oop,mdcr,0,state,""
HH,oop,na,1,county,""
HH,oop,na,1,state,""
HH,oop,oop,1,county,""
HH,oop,oop,1,state,""
HH,oop,priv,0,county,""
HH,oop,priv,0,state,""
NF,oop,mdcd,0,county,""
NF,oop,mdcd,0,state,""
NF,oop,mdcr,0,county,""
NF,oop,mdcr,0,state,""
NF,oop,na,0,county,""
NF,oop,na,0,state,""
NF,oop,oop,0,county,""
NF,oop,oop,0,state,""
NF,oop,priv,0,county,""
NF,oop,priv,0,state,""
RX,oop,mdcd,0,county,""
RX,oop,mdcd,0,state,""
RX,oop,mdcr,0,county,""
RX,oop,mdcr,0,state,""
RX,oop,na,1,county,""
RX,oop,na,1,state,""
RX,oop,oop,1,county,""
RX,oop,oop,1,state,""
RX,oop,priv,0,county,""
RX,oop,priv,0,state,""
AM,priv,na,1,county,KYTHERA
AM,priv,oop,1,county,KYTHERA
AM,priv,priv,1,county,KYTHERA
DV,priv,na,1,county,KYTHERA
DV,priv,oop,1,county,KYTHERA
DV,priv,priv,1,county,KYTHERA
ED,priv,na,1,county,KYTHERA
ED,priv,oop,1,county,KYTHERA
ED,priv,priv,1,county,KYTHERA
HH,priv,na,1,county,KYTHERA
HH,priv,oop,1,county,KYTHERA
HH,priv,priv,1,county,KYTHERA
IP,priv,na,1,county,KYTHERA
IP,priv,oop,1,county,KYTHERA
IP,priv,priv,1,county,KYTHERA
NF,priv,na,1,county,KYTHERA
NF,priv,oop,1,county,KYTHERA
NF,priv,priv,1,county,KYTHERA
RX,priv,na,1,county,KYTHERA
RX,priv,oop,1,county,KYTHERA
RX,priv,priv,1,county,KYTHERA
AM,priv,mdcd,1,county,MDCD
AM,priv,mdcd,1,national,MDCD
AM,priv,mdcd,1,state,MDCD
DV,priv,mdcd,1,county,MDCD
DV,priv,mdcd,1,national,MDCD
DV,priv,mdcd,1,state,MDCD
ED,priv,mdcd,1,county,MDCD
ED,priv,mdcd,1,national,MDCD
ED,priv,mdcd,1,state,MDCD
HH,priv,mdcd,1,county,MDCD
HH,priv,mdcd,1,national,MDCD
HH,priv,mdcd,1,state,MDCD
IP,priv,mdcd,1,county,MDCD
IP,priv,mdcd,1,national,MDCD
IP,priv,mdcd,1,state,MDCD
NF,priv,mdcd,1,county,MDCD
NF,priv,mdcd,1,national,MDCD
NF,priv,mdcd,1,state,MDCD
RX,priv,mdcd,1,county,MDCD
RX,priv,mdcd,1,national,MDCD
RX,priv,mdcd,1,state,MDCD
AM,priv,mdcr,1,county,MDCR
AM,priv,mdcr,1,national,MDCR
AM,priv,mdcr,1,state,MDCR
DV,priv,mdcr,1,county,MDCR
DV,priv,mdcr,1,national,MDCR
DV,priv,mdcr,1,state,MDCR
ED,priv,mdcr,1,county,MDCR
ED,priv,mdcr,1,national,MDCR
ED,priv,mdcr,1,state,MDCR
HH,priv,mdcr,1,county,MDCR
HH,priv,mdcr,1,national,MDCR
HH,priv,mdcr,1,state,MDCR
IP,priv,mdcr,1,county,MDCR
IP,priv,mdcr,1,national,MDCR
IP,priv,mdcr,1,state,MDCR
NF,priv,mdcr,1,county,MDCR
NF,priv,mdcr,1,national,MDCR
NF,priv,mdcr,1,state,MDCR
RX,priv,mdcr,1,county,MDCR
RX,priv,mdcr,1,national,MDCR
RX,priv,mdcr,1,state,MDCR
AM,priv,na,1,national,MSCAN
AM,priv,na,1,state,MSCAN
AM,priv,oop,1,national,MSCAN
AM,priv,oop,1,state,MSCAN
AM,priv,priv,1,national,MSCAN
AM,priv,priv,1,state,MSCAN
DV,priv,na,1,national,MSCAN
DV,priv,na,1,state,MSCAN
DV,priv,oop,1,national,MSCAN
DV,priv,oop,1,state,MSCAN
DV,priv,priv,1,national,MSCAN
DV,priv,priv,1,state,MSCAN
ED,priv,na,1,national,NEDS
ED,priv,na,1,state,MSCAN
ED,priv,oop,1,national,NEDS
ED,priv,oop,1,state,MSCAN
ED,priv,priv,1,national,NEDS
ED,priv,priv,1,state,MSCAN
HH,priv,na,1,national,MSCAN
HH,priv,na,1,state,MSCAN
HH,priv,oop,1,national,MSCAN
HH,priv,oop,1,state,MSCAN
HH,priv,priv,1,national,MSCAN
HH,priv,priv,1,state,MSCAN
IP,priv,na,1,national,NIS
IP,priv,na,1,state,MSCAN
IP,priv,oop,1,national,NIS
IP,priv,oop,1,state,MSCAN
