toc,pri_payer,payer,include,geo,reference_dataset
AM,mdcd,mdcd,1,county,MDCD
AM,mdcd,mdcd,1,national,MDCD
AM,mdcd,mdcd,1,state,MDCD
AM,mdcd,mdcr,0,county,MDCD
AM,mdcd,mdcr,0,national,MDCD
AM,mdcd,mdcr,0,state,MDCD
AM,mdcd,na,1,county,MDCD
AM,mdcd,na,1,national,MDCD
AM,mdcd,na,1,state,MDCD
AM,mdcd,oop,1,county,MDCD
AM,mdcd,oop,1,national,MDCD
AM,mdcd,oop,1,state,MDCD
AM,mdcd,priv,0,county,MDCD
AM,mdcd,priv,0,national,MDCD
AM,mdcd,priv,0,state,MDCD
DV,mdcd,mdcd,1,county,MDCD
DV,mdcd,mdcd,1,national,MDCD
DV,mdcd,mdcd,1,state,MDCD
DV,mdcd,mdcr,0,county,MDCD
DV,mdcd,mdcr,0,national,MDCD
DV,mdcd,mdcr,0,state,MDCD
DV,mdcd,na,1,county,MDCD
DV,mdcd,na,1,national,MDCD
DV,mdcd,na,1,state,MDCD
DV,mdcd,oop,1,county,MDCD
DV,mdcd,oop,1,national,MDCD
DV,mdcd,oop,1,state,MDCD
DV,mdcd,priv,0,county,MDCD
DV,mdcd,priv,0,national,MDCD
DV,mdcd,priv,0,state,MDCD
ED,mdcd,mdcd,1,county,MDCD
ED,mdcd,mdcd,1,national,MDCD
ED,mdcd,mdcd,1,state,MDCD
ED,mdcd,mdcr,0,county,MDCD
ED,mdcd,mdcr,0,national,MDCD
ED,mdcd,mdcr,0,state,MDCD
ED,mdcd,na,1,county,MDCD
ED,mdcd,na,1,national,MDCD
ED,mdcd,na,1,state,MDCD
ED,mdcd,oop,1,county,MDCD
ED,mdcd,oop,1,national,MDCD
ED,mdcd,oop,1,state,MDCD
ED,mdcd,priv,0,county,MDCD
ED,mdcd,priv,0,national,MDCD
ED,mdcd,priv,0,state,MDCD
HH,mdcd,mdcd,1,county,MDCD
HH,mdcd,mdcd,1,national,MDCD
HH,mdcd,mdcd,1,state,MDCD
HH,mdcd,mdcr,0,county,MDCD
HH,mdcd,mdcr,0,national,MDCD
HH,mdcd,mdcr,0,state,MDCD
HH,mdcd,na,1,county,MDCD
HH,mdcd,na,1,national,MDCD
HH,mdcd,na,1,state,MDCD
HH,mdcd,oop,1,county,MDCD
HH,mdcd,oop,1,national,MDCD
HH,mdcd,oop,1,state,MDCD
HH,mdcd,priv,0,county,MDCD
HH,mdcd,priv,0,national,MDCD
HH,mdcd,priv,0,state,MDCD
IP,mdcd,mdcd,1,county,MDCD
IP,mdcd,mdcd,1,national,MDCD
IP,mdcd,mdcd,1,state,MDCD
IP,mdcd,mdcr,0,county,MDCD
IP,mdcd,mdcr,0,national,MDCD
IP,mdcd,mdcr,0,state,MDCD
IP,mdcd,na,1,county,MDCD
IP,mdcd,na,1,national,MDCD
IP,mdcd,na,1,state,MDCD
IP,mdcd,oop,1,county,MDCD
IP,mdcd,oop,1,national,MDCD
IP,mdcd,oop,1,state,MDCD
