"lang_cd","race_cd","count","lang_count","pct"
"ARM","WHT",174670,184095,94.88
"ASM","API",45,55,81.82
"ASM","BLCK",10,55,18.18
"ATH","AIAN",8,8,100
"AYM","BLCK",1,1,100
"AZE","API",2,61,3.28
"AZE","BLCK",1,61,1.64
"AZE","HISP",1,61,1.64
"AZE","WHT",57,61,93.44
"BAK","UNK",2,2,100
"BAM","API",1,7,14.29
"BAM","BLCK",6,7,85.71
"BAN","AIAN",1,2,50
"BAN","API",1,2,50
"BAQ","AIAN",1,299,0.33
"BAQ","API",280,299,93.65
"BAQ","UNK",13,299,4.35
"BAQ","WHT",5,299,1.67
"BAS","WHT",3,3,100
"BEL","AIAN",4,22,18.18
"BEL","API",2,22,9.09
"BEL","UNK",4,22,18.18
"BEL","WHT",12,22,54.55
"BEM","BLCK",1,1,100
"BEN","AIAN",2156,29010,7.43
"BEN","API",24089,29010,83.04
"BEN","BLCK",930,29010,3.21
"BEN","HISP",733,29010,2.53
"BEN","WHT",1102,29010,3.8
"BER","WHT",2,2,100
"BIH","API",8,10,80
"BIH","WHT",2,10,20
"BIN","AIAN",2,16,12.5
"BIN","BLCK",8,16,50
"BIN","WHT",6,16,37.5
"BIS","BLCK",6,28,21.43
"BIS","UNK",19,28,67.86
"BIS","WHT",3,28,10.71
"BLA","BLCK",1,5,20
"BLA","WHT",4,5,80
"BNT","API",10,341,2.93
"BNT","BLCK",316,341,92.67
"BNT","WHT",15,341,4.4
"BOS","AIAN",61,3799,1.61
"BOS","API",43,3799,1.13
"BOS","BLCK",41,3799,1.08
"BOS","HISP",281,3799,7.4
"BOS","WHT",3373,3799,88.79
"BRA","BLCK",2,4,50
"BRA","HISP",1,4,25
"BRA","UNK",1,4,25
"BUL","AIAN",21,428,4.91
"BUL","API",31,428,7.24
"BUL","BLCK",4,428,0.93
"BUL","HISP",20,428,4.67
"BUL","WHT",352,428,82.24
"BUR","AIAN",181,33525,0.54
"BUR","API",30339,33525,90.5
"BUR","BLCK",124,33525,0.37
"BUR","HISP",526,33525,1.57
"BUR","WHT",2355,33525,7.02
"CAD","API",1,1,100
"CAI","AIAN",1074,1074,100
"CAT","API",2,20,10
"CAT","UNK",17,20,85
"CAT","WHT",1,20,5
"CAU","AIAN",65,372,17.47
"CAU","API",32,372,8.6
"CAU","BLCK",10,372,2.69
"CAU","UNK",18,372,4.84
"CAU","WHT",247,372,66.4
"CEB","API",29,29,100
"CHA","AIAN",1,615,0.16
"CHA","API",584,615,94.96
"CHA","BLCK",6,615,0.98
"CHA","HISP",7,615,1.14
"CHA","WHT",17,615,2.76
"CHI","AIAN",1356,1107661,0.12
"CHI","API",1068204,1107661,96.44
"CHI","BLCK",2323,1107661,0.21
"CHI","HISP",30229,1107661,2.73
"CHI","WHT",5549,1107661,0.5
"CHK","AIAN",13,2743,0.47
"CHK","API",2656,2743,96.83
"CHK","BLCK",2,2743,0.07
"CHK","HISP",60,2743,2.19
"CHK","WHT",12,2743,0.44
"CHN","AIAN",1,1,100
"CHO","AIAN",4,4,100
"CHR","BLCK",1,4,25
"CHR","HISP",1,4,25
"CHR","WHT",2,4,50
"CHU","AIAN",1,4,25
"CHU","API",2,4,50
"CHU","UNK",1,4,25
"COS","BLCK",2,5,40
"COS","HISP",1,5,20
"COS","WHT",2,5,40
"CPE","AIAN",6,119,5.04
"CPE","API",4,119,3.36
"CPE","BLCK",95,119,79.83
"CPE","HISP",1,119,0.84
"CPE","UNK",2,119,1.68
"CPE","WHT",11,119,9.24
"CPF","AIAN",251,6971,3.6
"CPF","API",157,6971,2.25
"CPF","BLCK",6057,6971,86.89
"CPF","HISP",113,6971,1.62
"CPF","UNK",211,6971,3.03
"CPF","WHT",182,6971,2.61
"CPP","AIAN",80,19792,0.4
"CPP","API",134,19792,0.68
"CPP","BLCK",8610,19792,43.5
"CPP","HISP",92,19792,0.46
"CPP","UNK",10766,19792,54.4
"CPP","WHT",110,19792,0.56
"CRE","BLCK",12,14,85.71
"CRE","UNK",1,14,7.14
"CRE","WHT",1,14,7.14
"CRP","AIAN",8,24888,0.03
"CRP","API",50,24888,0.2
"CRP","BLCK",16054,24888,64.5
"CRP","HISP",44,24888,0.18
"CRP","UNK",8683,24888,34.89
"CRP","WHT",49,24888,0.2
"CUS","API",1,13,7.69
"CUS","BLCK",5,13,38.46
"CUS","HISP",3,13,23.08
"CUS","WHT",4,13,30.77
"CZE","AIAN",8,191,4.19
"CZE","API",4,191,2.09
"CZE","BLCK",5,191,2.62
"CZE","HISP",7,191,3.66
"CZE","WHT",167,191,87.43
"DAK","AIAN",715,715,100
"DAN","AIAN",5,87,5.75
"DAN","API",5,87,5.75
"DAN","BLCK",24,87,27.59
"DAN","HISP",2,87,2.3
"DAN","WHT",51,87,58.62
"DAR","AIAN",2,2,100
"DAY","API",1,1,100
"DIN","API",7,121,5.79
"DIN","BLCK",102,121,84.3
"DIN","HISP",9,121,7.44
"DIN","WHT",3,121,2.48
"DIV","API",1,5,20
"DIV","WHT",4,5,80
"DUM","AIAN",3,49,6.12
"DUM","HISP",2,49,4.08
"DUM","WHT",44,49,89.8
"DUT","AIAN",39,632,6.17
"DUT","API",22,632,3.48
"DUT","BLCK",101,632,15.98
"DUT","HISP",19,632,3.01
"DUT","WHT",451,632,71.36
"DZO","AIAN",3,584,0.51
"DZO","API",503,584,86.13
"DZO","BLCK",29,584,4.97
"DZO","HISP",10,584,1.71
"DZO","WHT",39,584,6.68
"EGY","AIAN",8,62,12.9
"EGY","API",2,62,3.23
"EGY","BLCK",10,62,16.13
"EGY","HISP",2,62,3.23
"EGY","UNK",8,62,12.9
"EGY","WHT",32,62,51.61
"EKA","API",6,180,3.33
"EKA","BLCK",46,180,25.56
"EKA","HISP",52,180,28.89
"EKA","WHT",76,180,42.22
"ELX","BLCK",3,16,18.75
"ELX","UNK",1,16,6.25
"ELX","WHT",12,16,75
"ENM","BLCK",1,1,100
"EPO","AIAN",4,491,0.81
"EPO","API",1,491,0.2
"EPO","BLCK",41,491,8.35
"EPO","HISP",53,491,10.79
"EPO","UNK",303,491,61.71
"EPO","WHT",89,491,18.13
"EST","AIAN",52,285,18.25
"EST","API",17,285,5.96
"EST","BLCK",64,285,22.46
"EST","HISP",2,285,0.7
"EST","WHT",150,285,52.63
"EWE","BLCK",76,88,86.36
"EWE","HISP",4,88,4.55
"EWE","WHT",8,88,9.09
"FAO","AIAN",7,71,9.86
"FAO","API",5,71,7.04
"FAO","HISP",1,71,1.41
"FAO","WHT",58,71,81.69
"FIJ","API",14,15,93.33
"FIJ","HISP",1,15,6.67
"FIL","AIAN",23,1363,1.69
"FIL","API",1288,1363,94.5
"FIL","BLCK",2,1363,0.15
"FIL","HISP",25,1363,1.83
"FIL","WHT",25,1363,1.83
"FIN","AIAN",1,97,1.03
"FIN","API",7,97,7.22
"FIN","BLCK",25,97,25.77
"FIN","HISP",8,97,8.25
"FIN","WHT",56,97,57.73
"FIU","WHT",1,1,100
"FON","BLCK",2,2,100
"FRE","AIAN",526,53975,0.97
"FRE","API",553,53975,1.02
"FRE","BLCK",36518,53975,67.66
"FRE","HISP",632,53975,1.17
"FRE","UNK",11046,53975,20.47
"FRE","WHT",4700,53975,8.71
"FRS","WHT",18,18,100
"FUL","API",3,481,0.62
"FUL","BLCK",474,481,98.54
"FUL","WHT",4,481,0.83
"FUR","BLCK",10,60,16.67
"FUR","HISP",13,60,21.67
"FUR","WHT",37,60,61.67
"GAA","BLCK",1,1,100
"GEM","API",2,2,100
"GEO","AIAN",1,71,1.41
"GEO","BLCK",1,71,1.41
"GEO","WHT",69,71,97.18
"GER","AIAN",62,1806,3.43
"GER","API",120,1806,6.64
"GER","BLCK",126,1806,6.98
"GER","HISP",59,1806,3.27
"GER","WHT",1439,1806,79.68
"GLA","BLCK",1,6,16.67
"GLA","WHT",5,6,83.33
"GLE","UNK",2,2,100
"GMH","WHT",1,1,100
"GRB","BLCK",8,8,100
"GRC","AIAN",40,42839,0.09
"GRC","API",16303,42839,38.06
"GRC","BLCK",41,42839,0.1
"GRC","HISP",21838,42839,50.98
"GRC","WHT",4617,42839,10.78
"GRE","AIAN",233,6672,3.49
"GRE","API",57,6672,0.85
"GRE","BLCK",51,6672,0.76
"GRE","HISP",138,6672,2.07
"GRE","WHT",6193,6672,92.82
"GRN","AIAN",8,8,100
"GSW","WHT",1,1,100
"GUJ","AIAN",676,8963,7.54
"GUJ","API",7877,8963,87.88
"GUJ","BLCK",51,8963,0.57
"GUJ","HISP",50,8963,0.56
"GUJ","WHT",309,8963,3.45
"HAI","AIAN",2753,2753,100
"HAT","AIAN",85,80153,0.11
"HAT","API",242,80153,0.3
"HAT","BLCK",77544,80153,96.74
"HAT","HISP",1909,80153,2.38
"HAT","WHT",373,80153,0.47
"HAU","BLCK",23,23,100
"HAW","AIAN",1,174,0.57
"HAW","API",158,174,90.8
"HAW","BLCK",7,174,4.02
"HAW","HISP",4,174,2.3
"HAW","WHT",4,174,2.3
"HEB","AIAN",204,2874,7.1
"HEB","API",225,2874,7.83
"HEB","BLCK",68,2874,2.37
"HEB","HISP",211,2874,7.34
"HEB","WHT",2166,2874,75.37
"HIL","API",3,4,75
"HIL","HISP",1,4,25
"HIN","AIAN",2003,18867,10.62
"HIN","API",15516,18867,82.24
"HIN","BLCK",231,18867,1.22
"HIN","HISP",213,18867,1.13
"HIN","WHT",904,18867,4.79
"HMN","AIAN",119,106675,0.11
"HMN","API",102472,106675,96.06
"HMN","BLCK",614,106675,0.58
"HMN","HISP",2618,106675,2.45
"HMN","WHT",852,106675,0.8
"HMO","API",42,43,97.67
"HMO","WHT",1,43,2.33
"HRV","AIAN",8,666,1.2
"HRV","API",15,666,2.25
"HRV","BLCK",30,666,4.5
"HRV","HISP",11,666,1.65
"HRV","WHT",602,666,90.39
"HUN","AIAN",42,780,5.38
"HUN","API",8,780,1.03
"HUN","BLCK",4,780,0.51
"HUN","HISP",5,780,0.64
"HUN","WHT",721,780,92.44
"IBO","AIAN",4,117,3.42
"IBO","API",2,117,1.71
"IBO","BLCK",110,117,94.02
"IBO","WHT",1,117,0.85
"ICE","WHT",3,3,100
"IDO","API",19,26,73.08
"IDO","BLCK",1,26,3.85
"IDO","UNK",6,26,23.08
"IKU","AIAN",16,16,100
"ILO","AIAN",1,11620,0.01
"ILO","API",11435,11620,98.41
"ILO","BLCK",4,11620,0.03
"ILO","HISP",142,11620,1.22
"ILO","WHT",38,11620,0.33
"INC","AIAN",29,138,21.01
"INC","API",58,138,42.03
"INC","BLCK",1,138,0.72
"INC","UNK",26,138,18.84
"INC","WHT",24,138,17.39
"IND","AIAN",87,670,12.99
"IND","API",499,670,74.48
"IND","BLCK",12,670,1.79
"IND","HISP",14,670,2.09
"IND","WHT",58,670,8.66
"INE","AIAN",8,60,13.33
"INE","API",22,60,36.67
"INE","BLCK",1,60,1.67
"INE","UNK",1,60,1.67
"INE","WHT",28,60,46.67
"IPK","AIAN",65,65,100
"IRA","AIAN",2,2092,0.1
"IRA","API",286,2092,13.67
"IRA","BLCK",22,2092,1.05
"IRA","HISP",15,2092,0.72
"IRA","UNK",768,2092,36.71
"IRA","WHT",999,2092,47.75
"ITA","AIAN",546,12649,4.32
"ITA","API",198,12649,1.57
"ITA","BLCK",626,12649,4.95
"ITA","HISP",261,12649,2.06
"ITA","WHT",11018,12649,87.11
"JPN","AIAN",110,7324,1.5
"JPN","API",6775,7324,92.5
"JPN","BLCK",77,7324,1.05
"JPN","HISP",173,7324,2.36
"JPN","WHT",189,7324,2.58
"KAC","API",5,5,100
"KAL","BLCK",3,4,75
"KAL","WHT",1,4,25
"KAN","AIAN",12,75,16
"KAN","API",61,75,81.33
"KAN","BLCK",2,75,2.67
"KAR","AIAN",76,19749,0.38
"KAR","API",19357,19749,98.02
"KAR","BLCK",30,19749,0.15
"KAR","HISP",205,19749,1.04
"KAR","WHT",81,19749,0.41
"KAS","UNK",2,2,100
"KAU","API",17,28,60.71
"KAU","BLCK",9,28,32.14
"KAU","HISP",1,28,3.57
"KAU","WHT",1,28,3.57
"KHM","AIAN",21,7394,0.28
"KHM","API",6953,7394,94.04
"KHM","BLCK",74,7394,1
"KHM","HISP",210,7394,2.84
"KHM","WHT",136,7394,1.84
"KHO","API",1,1,100
"KIK","BLCK",10,10,100
"KIN","AIAN",7,548,1.28
"KIN","BLCK",541,548,98.72
"KIR","BLCK",1,3,33.33
"KIR","UNK",2,3,66.67
"KOK","BLCK",1,4,25
"KOK","UNK",3,4,75
"KOR","AIAN",637,205041,0.31
"KOR","API",201919,205041,98.48
"KOR","BLCK",196,205041,0.1
"KOR","HISP",1081,205041,0.53
"KOR","WHT",1208,205041,0.59
"KOS","API",77,84,91.67
"KOS","HISP",7,84,8.33
"KPE","BLCK",15,15,100
"KRO","AIAN",1,6,16.67
"KRO","BLCK",3,6,50
"KRO","WHT",2,6,33.33
"KRU","BLCK",9,9,100
"KUA","BLCK",5,5,100
"KUR","AIAN",18,834,2.16
"KUR","API",92,834,11.03
"KUR","BLCK",17,834,2.04
"KUR","HISP",13,834,1.56
"KUR","WHT",694,834,83.21
"LAO","AIAN",99,30879,0.32
"LAO","API",28240,30879,91.45
"LAO","BLCK",996,30879,3.23
"LAO","HISP",666,30879,2.16
"LAO","WHT",878,30879,2.84
"LAT","AIAN",4,32,12.5
"LAT","HISP",5,32,15.62
"LAT","WHT",23,32,71.88
"LAV","AIAN",2,21,9.52
"LAV","API",3,21,14.29
"LAV","BLCK",2,21,9.52
"LAV","WHT",14,21,66.67
"LIN","AIAN",4,89,4.49
"LIN","BLCK",75,89,84.27
"LIN","WHT",10,89,11.24
"LIT","AIAN",13,406,3.2
"LIT","API",10,406,2.46
"LIT","BLCK",4,406,0.99
"LIT","HISP",3,406,0.74
"LIT","WHT",376,406,92.61
"LUO","API",1,1,100
"MAC","AIAN",79,792,9.97
"MAC","API",42,792,5.3
"MAC","BLCK",31,792,3.91
"MAC","HISP",152,792,19.19
"MAC","WHT",488,792,61.62
"MAD","AIAN",1,9,11.11
"MAD","API",8,9,88.89
"MAH","AIAN",1,1735,0.06
"MAH","API",1631,1735,94.01
"MAH","BLCK",39,1735,2.25
"MAH","HISP",50,1735,2.88
"MAH","WHT",14,1735,0.81
"MAL","AIAN",79,548,14.42
"MAL","API",418,548,76.28
"MAL","BLCK",13,548,2.37
"MAL","HISP",8,548,1.46
"MAL","WHT",30,548,5.47
"MAN","AIAN",9,1978,0.46
"MAN","API",1438,1978,72.7
"MAN","BLCK",514,1978,25.99
"MAN","WHT",17,1978,0.86
"MAO","API",2,9,22.22
"MAO","BLCK",4,9,44.44
"MAO","WHT",3,9,33.33
"MAP","API",87,178,48.88
