"lang_cd","race_cd","count","lang_count","pct"
"URD","AIAN",1306,3731,35
"URD","API",1974,3731,52.91
"URD","BLCK",27,3731,0.72
"URD","UNK",164,3731,4.4
"URD","WHT",260,3731,6.97
"UZB","AIAN",2,770,0.26
"UZB","API",303,770,39.35
"UZB","BLCK",2,770,0.26
"UZB","HISP",4,770,0.52
"UZB","WHT",459,770,59.61
"VAI","UNK",1,1,100
"VIE","AIAN",1088,626148,0.17
"VIE","API",617903,626148,98.68
"VIE","BLCK",407,626148,0.07
"VIE","HISP",3541,626148,0.57
"VIE","WHT",3209,626148,0.51
"VOL","UNK",2,2,100
"WAK","WHT",1,1,100
"WEL","HISP",1,7,14.29
"WEL","WHT",6,7,85.71
"WEN","WHT",3,3,100
"WLN","AIAN",4,14,28.57
"WLN","API",1,14,7.14
"WLN","BLCK",4,14,28.57
"WLN","UNK",1,14,7.14
"WLN","WHT",4,14,28.57
"WOL","AIAN",4,126,3.17
"WOL","BLCK",117,126,92.86
"WOL","HISP",3,126,2.38
"WOL","WHT",2,126,1.59
"YAP","API",5,5,100
"YID","AIAN",40,2205,1.81
"YID","API",88,2205,3.99
"YID","BLCK",176,2205,7.98
"YID","HISP",197,2205,8.93
"YID","WHT",1704,2205,77.28
"YOR","AIAN",13,303,4.29
"YOR","API",6,303,1.98
"YOR","BLCK",265,303,87.46
"YOR","WHT",19,303,6.27
"YPK","AIAN",359,359,100
"ZND","BLCK",67,67,100
"ZUL","API",1,3,33.33
"ZUL","BLCK",2,3,66.67
"ZUN","AIAN",232,232,100
